uni,n,k,date,p,rot_spread,V_full,V_lw,V_pf0.5,V_pf1.0,V_pf2.0,V_uni
small,63,5,2022-05-02,573,0.4232097165590015,0.09538924395160671,0.13415113003694593,0.20245510773850636,0.2246975406195724,0.2436784324705777,0.2967132175131702
small,63,5,2022-06-01,573,0.3767489124284009,0.19397021887914284,0.2235333676672801,0.2352915986803985,0.2499069290792569,0.2653368156948564,0.2939398879244717
small,63,5,2022-07-01,574,0.43475915798834813,0.12102797528107045,0.11754872998627103,0.1305389289975403,0.137884053438821,0.14910517847469018,0.18610688693880628
small,63,5,2022-08-01,574,0.4626971162023208,0.12236856954858652,0.12930364389561183,0.12879786452103728,0.13745853581046238,0.1497714791853964,0.1884550322312831
small,63,5,2022-09-01,574,0.5956393431095894,0.13660518271796826,0.1648772871970726,0.18782201886468264,0.2078466277723053,0.22562939602195906,0.2725532017451371
small,63,5,2022-10-03,574,0.42695964858147856,0.17386168901625396,0.15830719434602286,0.19732907062031305,0.21294536881428772,0.23012549782056865,0.2608890957737371
small,63,5,2022-11-01,574,0.5231213428202086,0.1735909522945983,0.13792998564315428,0.1652950853617978,0.18839377040249503,0.2170059012541164,0.2980437001932398
small,63,5,2022-12-01,574,0.667472504677938,0.1389007574543735,0.12767393556060397,0.14251799860482875,0.15335349060176579,0.1639553580150324,0.2010751307397144
small,63,5,2023-01-03,574,0.6251169808289739,0.13713196027081087,0.11743620426495721,0.1386407649212796,0.14707533900782016,0.15491176891017283,0.17833739964074646
small,63,5,2023-02-01,575,0.6463727786598152,0.11044559736923668,0.11832787264995917,0.12581801661306097,0.13672302842345138,0.14650446409100734,0.1851299175553095
small,63,5,2023-03-01,576,0.6003357314625731,0.15070602957762153,0.17162441137825998,0.21805056413280424,0.232055140765032,0.24149637770627297,0.25203117088124427
small,63,5,2023-04-03,577,0.5702741761969228,0.09951701854641407,0.0999198209632185,0.1074649873041639,0.12064976096467739,0.1342050265443307,0.15752739840606939
small,63,5,2023-05-01,577,0.6242425069068969,0.08140820944799837,0.0949479732426113,0.09893887539690385,0.12206201889020053,0.14268909840852778,0.18301370671351397
small,63,5,2023-06-01,577,0.6282344528305245,0.1312331732678115,0.14256118741747453,0.166751584545619,0.17973237955866317,0.19037671202148365,0.2259503919415293
small,63,5,2023-07-03,578,0.7077805992092298,0.0791140438706731,0.08467266177559991,0.10262191421451992,0.11499902545552396,0.1228154562300848,0.15068669803001544
small,63,5,2023-08-01,578,0.6859873535424631,0.09939212232820104,0.0919421172047063,0.10419216648882952,0.10867136636944555,0.11147106512240729,0.11794155174396616
small,63,5,2023-09-01,579,0.6036900229347988,0.12017136181584817,0.10212685074073219,0.13156377571901395,0.13809850698115472,0.1430417774540112,0.1484935015315264
small,63,5,2023-10-02,582,0.5227911391624028,0.1201687405320153,0.12976748899987242,0.1593344421055127,0.1701993213636039,0.1780031839685269,0.1823710654432387
small,63,5,2023-11-01,582,0.5494060120859993,0.10366952260358836,0.13687098450989862,0.21089007969094611,0.23585068199045148,0.25333512107646383,0.267987219302373
small,63,5,2023-12-01,583,0.6438061703699335,0.12011304066791027,0.09804757923213142,0.12911255999988705,0.15022622147123843,0.16621004121626684,0.21539786045593148
small,63,5,2024-01-02,585,0.679088051032223,0.11428267920483262,0.12950650447817122,0.13375700476588645,0.14635493645272218,0.15688529166607632,0.1922978612862503
small,63,5,2024-02-01,586,0.6464989838568362,0.09654733158427077,0.09746459966963836,0.15124066677816425,0.16738292953514214,0.18113069680251198,0.21640233477488283
small,63,5,2024-03-01,587,0.6289492564469626,0.09765423044353735,0.07028251192255994,0.09679879213446398,0.11199540022304781,0.12448470507012477,0.15672101200151856
small,63,5,2024-04-01,587,0.6432315967428912,0.0869984361324596,0.1060331386436152,0.13941193551910047,0.15270833817903418,0.16244664362890457,0.18219988392935704
small,63,5,2024-05-01,588,0.6351294893549806,0.08899193786380079,0.10562429269107551,0.10754999801279133,0.11537870197833594,0.12137858251502304,0.13196139339923502
small,63,5,2024-06-03,588,0.6504372337564365,0.07160497382172398,0.08935987691944842,0.12059657779407564,0.12764405072271515,0.13189626845206184,0.13841541878051575
small,63,5,2024-07-01,588,0.6561197034993951,0.09353096119516774,0.11872794303960651,0.1995987498195553,0.21767710380410107,0.22773140830258354,0.24115428341307085
small,63,5,2024-08-01,588,0.6194107139232349,0.13633234881790104,0.15186239146597053,0.22107108681420456,0.23874423892159077,0.24971201290943904,0.26705653732606105
small,63,5,2024-09-03,588,0.5622518490911554,0.08203287727976703,0.09568230921195543,0.11944059763623585,0.13525199713715164,0.14839512376912742,0.16443418967387916
small,63,5,2024-10-01,590,0.5914952105739708,0.08901971924952279,0.08577595029368099,0.11309641312467862,0.1262281246951325,0.1366653905087485,0.14950264129228527
small,63,5,2024-11-01,591,0.5880600404286126,0.08544833154478731,0.1465991565229341,0.20618339994223533,0.22783246639336835,0.24201562240454003,0.2549028744669374
small,63,5,2024-12-02,591,0.5687078276046182,0.1027062780939094,0.10553513609800481,0.136561170026305,0.14747647716070866,0.15536985735648065,0.1617674647563764
small,63,5,2025-01-02,593,0.5728618962936853,0.14426780255452315,0.11628614274855256,0.1420507367027861,0.148117657810298,0.15304928723620234,0.1567219533874522
small,63,5,2025-02-03,594,0.6134848834431966,0.10504419801139446,0.12903006194932592,0.15468667104084086,0.16093561264832965,0.16523326243567477,0.1695133249421121
small,63,5,2025-03-03,594,0.5736632162966444,0.11984684262035641,0.14368149518840495,0.16033595490229816,0.17105960672155981,0.1794492043736037,0.19384665595667283
small,63,5,2025-04-01,594,0.5102960350545678,0.28231161768959384,0.3171210128324298,0.39123298521873023,0.42232402422419735,0.44601206040512664,0.4788972041410384
small,63,5,2025-05-01,594,0.6254268617478993,0.15903232385574967,0.15385516145811176,0.16077940844015692,0.16860532260006417,0.18269161682004018,0.2377048373019546
small,63,5,2025-06-02,595,0.67258766468102,0.1691896463710112,0.1285693244466019,0.12563563522892698,0.1269524549108279,0.1326249994835347,0.17116507557673694
small,63,5,2025-07-01,595,0.6538277222900771,0.11986919429020132,0.12001460544440373,0.1339605235584953,0.14192470637882038,0.14954293700688684,0.18830698751207312
small,63,5,2025-08-01,595,0.633877434326885,0.10524467987154928,0.12490144671948415,0.15328406257120877,0.17061384561932244,0.1835404919157823,0.21338248752310138
small,63,5,2025-09-02,595,0.6896090999643624,0.08391551760419294,0.0867052394346372,0.11847243316166099,0.13092091711492282,0.13826879123378666,0.153099431020131
small,63,5,2025-10-01,596,0.6803483423410226,0.10594905989233751,0.11955795258351655,0.14532870546421067,0.15903231196190823,0.1670896708627407,0.18317999588771533
small,63,5,2025-11-03,596,0.6754495537378219,0.10392176551836198,0.11240519244387036,0.159709250798893,0.18198115610402338,0.1954238593030741,0.22521974684540064
small,63,5,2025-12-01,596,0.5382290662589395,0.07811511039673906,0.08269356117204416,0.09397477873558494,0.09981520170688712,0.10457623475657345,0.11418005671977959
small,63,5,2026-01-02,596,0.530821944386807,0.07464513234564152,0.0959527134069888,0.13469633649146687,0.15124963061288188,0.16278839871885895,0.17186786568812537
small,63,5,2026-02-02,596,0.5634913252388324,0.0817119436785241,0.10091478035888238,0.13295342168302307,0.14631786537232883,0.1562834281401412,0.17559271218340414
small,63,5,2026-03-02,596,0.5214203862487908,0.13391315693280872,0.13608401905413742,0.16473385898127355,0.1762247963565544,0.18484759900050649,0.19486735346679626
small,63,5,2026-04-01,597,0.5111823493686465,0.08901582853492104,0.05749048570474895,0.08017134717280923,0.09784018506949077,0.11458860919128916,0.12591079944798966
small,63,5,2026-05-01,597,0.5228381754437048,0.1092446625463584,0.11162589722713392,0.11409731089906734,0.12424406193311896,0.13648880407517427,0.14610068820809205
small,63,5,2026-06-01,597,0.5069380788949773,0.14561386147001565,0.1220670559173016,0.12586080352018003,0.1322213682949857,0.1406019447219976,0.14597376318895053
small,63,5,2026-07-01,598,0.2732221200090787,0.02941684166674982,0.04591517804031719,0.011822694415898963,0.0039443156609272854,0.004451624306956234,0.004436932822536022
small,252,5,2019-02-01,503,0.44427180998347804,0.07809741707133201,0.09766476570419874,0.0768263356839821,0.07515095974758992,0.0759964838238198,0.08934393355492362
small,252,5,2019-03-01,506,0.533662490765227,0.057179144910561745,0.08755745430380402,0.10779168740969895,0.12990454469644988,0.1475611713855285,0.16867047425902856
small,252,5,2019-04-01,507,0.4176961165258131,0.07496741765586214,0.0628432647413095,0.0788289337283212,0.08955345338360232,0.10284953748055281,0.10578726580190799
small,252,5,2019-05-01,508,0.5672623110120408,0.08911752043069471,0.06658931943758836,0.10856789682750806,0.1229101914663256,0.13786655510883564,0.16544721835347517
small,252,5,2019-06-03,512,0.5479720614861114,0.10457884082050246,0.08009531551896694,0.09908860786263943,0.10752325501710386,0.12034203447525801,0.13435805095518086
small,252,5,2019-07-01,513,0.5213198040040072,0.06589295846118895,0.06452961673590678,0.080102872589679,0.08980041877710132,0.10031655054631473,0.1168614416657951
small,252,5,2019-08-01,513,0.452540502833005,0.10815382599183558,0.09539726066798061,0.14514231347931428,0.16302079734567537,0.182691940976711,0.2178975035178414
small,252,5,2019-09-03,516,0.4827494855051367,0.06419357127464002,0.07518466986053006,0.07243119736064893,0.08710718449105914,0.10567570686585764,0.15015681082988538
