book,model,window,n_obs,alpha_ann,t_alpha,R2,avg_gross,alpha_stress,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_Mom,t_Mom,beta_TSMOM,t_TSMOM,beta_QQQRES,t_QQQRES
dual_momentum_gem,M1,blind,219,0.19175317176302437,1.3173126389322882,0.7806246761548431,1.5,0.1676202950506956,1.7183844351871846,17.988454320309256,-0.14736372167516676,-1.063132035758545,-0.059565341211503954,-0.6405032577357369,-0.09871514508727576,-0.9591746725336283,0.3187092849669113,1.6511926261639132,0.16754021138499825,2.464484730968696,,,,
dual_momentum_gem,M2,blind,219,0.15786413005243816,1.1238285124996419,0.8159053161112895,1.5,0.13373125334010938,1.1828496317674762,7.50949065720708,-0.2095704815398965,-1.5506937234851854,-0.242863962931593,-2.5381651501595095,0.11750283667245129,1.562322136194415,0.25355240448950617,1.3912129037389052,0.1429641705931226,2.3275719390019076,0.7389665276872632,3.2664131622202484,0.6253384365880834,2.4431673807519987
dual_momentum_gem,M0,full_IN-SAMPLE,2779,0.054209885860422274,1.2729335847222396,0.7265571229742415,1.3242299142584948,0.04573531626774041,1.3781147870997807,35.09135881327237,,,,,,,,,,,,,,
dual_momentum_gem,M1,full_IN-SAMPLE,2779,0.029327520559929612,0.7812400643909659,0.786290264548404,1.3242299142584948,0.020852950967247753,1.4224490111794248,39.46943599850698,-0.10147228680063682,-3.067398342811145,-0.25852066938717383,-6.845296922589686,0.11235339510261748,2.4305350283499814,0.07844745674353602,1.1881610239810227,0.2825404767689659,11.285173695414455,,,,
dual_momentum_gem,M2,full_IN-SAMPLE,2779,0.03556941126724474,1.1759970547792207,0.8439172156171488,1.3242299142584948,0.027094841674562883,1.2434798230414685,25.009228565597454,-0.16036537782814234,-6.359534871568868,-0.2530906391860739,-8.726300045262791,0.1332868509100935,3.138066415502397,-0.00481555219752896,-0.09033941003212563,0.1527497434216813,6.739651649633823,0.5619404138336339,8.55035115359494,0.9503189966035578,12.562385540856214
momentum_concentrated,M0,blind,219,0.08208809317932826,0.5583011477836173,0.5684965641033649,0.8896193911174628,0.08208809317932826,1.3769302532066787,14.415071730433068,,,,,,,,,,,,,,
momentum_concentrated,M1,blind,219,-0.05830522938714204,-0.5381713412340712,0.7355990697899459,0.8896193911174628,-0.05830522938714204,0.955230819718641,8.60487387445153,0.20204126019173738,1.7250654247890054,-0.051512445731515866,-0.423133494948402,-0.267751447837051,-3.036518022596779,0.17042062069059338,1.0972824856626113,0.5847076736810379,12.02734098997232,,,,
momentum_concentrated,M2,blind,219,-0.0746560864905058,-0.6815441212097487,0.7465142179764566,0.8896193911174628,-0.0746560864905058,0.6939640088318432,4.6019738621449005,0.17814652169630868,1.4520934960597818,-0.15466943112161155,-0.8876532520144435,-0.1534071959653388,-1.8766650832821603,0.1371949354820481,0.8993071093487943,0.573343373361576,12.628498979315236,0.3557995395182636,2.384863813325109,0.35708421833563964,1.1979473758689596
momentum_concentrated,M0,full_IN-SAMPLE,2779,-0.00981900398032663,-0.2484373098169567,0.5716587543702942,0.9749579670552643,-0.00981900398032663,0.8927516519996568,21.72875117277929,,,,,,,,,,,,,,
momentum_concentrated,M1,full_IN-SAMPLE,2779,-0.032663867515759976,-1.0028304600700755,0.7423783026845849,0.9749579670552643,-0.032663867515759976,0.9212486913758406,18.674019295168797,0.14799084873402285,4.891166927974767,0.07140330263272718,1.9168938261120154,-0.1705890087213824,-5.005263083949522,0.010879032842306976,0.21982920675677836,0.5276206633366145,19.502278128596274,,,,
